year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
1976.0,248,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,HORIZON GARDENS,391,ANG MO KIO AVENUE 2,HORIZON GARDENS,391 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 567851,567851,28020.7673525764,39936.5293420013,1.3774463029789599,103.833505188627,103.833505188627
1976.0,249,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,HORIZON GARDENS,451,ANG MO KIO AVENUE 2,HORIZON GARDENS,451 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 567881,567881,28135.512249737003,39892.4712649025,1.3770478571896698,103.83453625533001,103.83453625533001
1976.0,250,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,HORIZON GARDENS,503,ANG MO KIO AVENUE 2,HORIZON GARDENS,503 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 567907,567907,28102.382186016097,39920.8636022042,1.3773046274651202,103.834238557601,103.834238557601
1976.0,251,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,HORIZON GARDENS,615,ANG MO KIO AVENUE 2,HORIZON GARDENS,615 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 567963,567963,28299.6561005283,39998.838347386605,1.3780098018256,103.836011208824,103.836011208824
1976.0,252,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,THE PANORAMA,10,ANG MO KIO AVENUE 2,THE PANORAMA,10 ANG MO KIO AVENUE 2 THE PANORAMA SINGAPORE 567696,567696,28101.0551468059,39763.8324854448,1.3758844942106798,103.834226632654,103.834226632654
1976.0,9,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333331,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1,HDB-GHIM MOH,7,GHIM MOH ROAD,HDB-GHIM MOH,7 GHIM MOH ROAD HDB-GHIM MOH SINGAPORE 270007,270007,22870.8440547902,32621.1557923239,1.31128823600905,103.787230603612,103.787230603612
1976.0,10,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333331,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1,MULTI STOREY CAR PARK,13A,GHIM MOH ROAD,MULTI STOREY CAR PARK,13A GHIM MOH ROAD MULTI STOREY CAR PARK SINGAPORE 272013,272013,23037.103879787002,32422.775340862598,1.30949418096489,103.788724560909,103.788724560909
1976.0,11,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333331,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1,11359 (BUS STOP),,GHIM MOH RD,11359 (BUS STOP),GHIM MOH RD,NIL,23144.1119776294,32402.4326830264,1.3093102262281497,103.789686083335,103.789686083335
1976.0,12,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333331,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1,12129 (BUS STOP),,GHIM MOH RD,12129 (BUS STOP),GHIM MOH RD,NIL,22881.4742009398,32680.0781735461,1.3118211108320499,103.787326110924,103.787326110924
1976.0,9a,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333331,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1,MULTI STOREY CAR PARK,16A,GHIM MOH ROAD,MULTI STOREY CAR PARK,16A GHIM MOH ROAD MULTI STOREY CAR PARK SINGAPORE 272016,272016,22917.1983519383,32438.668514289,1.3096378936473798,103.78764714946199,103.78764714946199
