year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished
1977.0,323,clementi ave 5,cl,10.0,0.0,0.0,97.0,27.0,0.6666666666666666,0.0,124.66666666666667,34.0,"['321', '322', '323']",3.0,1
1963.0,1,east coast rd,bd,5.0,0.0,0.0,26.666666666666668,0.6666666666666666,0.0,0.0,27.333333333333332,48.0,"['1', '2', '3']",3.0,1
1963.0,2,east coast rd,bd,5.0,0.0,0.0,26.666666666666668,0.6666666666666666,0.0,0.0,27.333333333333332,48.0,"['1', '2', '3']",3.0,1
1963.0,3,east coast rd,bd,5.0,0.0,0.0,26.666666666666668,0.6666666666666666,0.0,0.0,27.333333333333332,48.0,"['1', '2', '3']",3.0,1
1955.0,1,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,2,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,3,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,5,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,6,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,7,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,8,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,9,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
