latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
2020-04-24,1949,48,moh guan ter,4,bm,15,0,8,7,0,0,0,0,0,HDB-BUKIT MERAH,48,MOH GUAN TERRACE,HDB-BUKIT MERAH,48 MOH GUAN TERRACE HDB-BUKIT MERAH SINGAPORE 161048,161048,27749.845110000002,29602.78711,1.283991598,103.83107079999999,103.83107079999999
2020-04-24,1949,49,kim pong rd,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,49,KIM PONG ROAD,HDB-BUKIT MERAH,49 KIM PONG ROAD HDB-BUKIT MERAH SINGAPORE 160049,160049,27688.3191,29636.817560000003,1.284299357,103.83051800000001,103.83051800000001
2020-04-24,1949,46,seng poh rd,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,46,SENG POH ROAD,HDB-BUKIT MERAH,46 SENG POH ROAD HDB-BUKIT MERAH SINGAPORE 161046,161046,27800.920939999996,29604.149230000003,1.284003917,103.8315298,103.8315298
2020-04-24,1949,24,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,24,TIONG BAHRU ROAD,HDB-BUKIT MERAH,24 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 164024,164024,27772.065110000003,29794.62865,1.285726545,103.8312705,103.8312705
2020-04-24,1949,44,moh guan ter,4,bm,16,0,8,8,0,0,0,0,0,HDB-BUKIT MERAH,44,MOH GUAN TERRACE,HDB-BUKIT MERAH,44 MOH GUAN TERRACE HDB-BUKIT MERAH SINGAPORE 161044,161044,27748.295869999998,29650.180480000003,1.284420207,103.83105690000001,103.83105690000001
2020-04-24,1949,19,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,19,LIM LIAK STREET,HDB-BUKIT MERAH,19 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 161019,161019,27920.025910000004,29768.89097,1.285493784,103.8326,103.8326
2020-04-24,1949,45,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,45,KIM CHENG STREET,HDB-BUKIT MERAH,45 KIM CHENG STREET HDB-BUKIT MERAH SINGAPORE 160045,160045,27809.434139999998,29628.7598,1.284226486,103.83160629999999,103.83160629999999
2020-04-24,1949,21,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,21,LIM LIAK STREET,HDB-BUKIT MERAH,21 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 161021,161021,27871.217539999998,29762.74657,1.285438216,103.8321614,103.8321614
2020-04-24,1958,10,dakota cres,7,gl,53,0,0,0,0,0,0,53,0,10 DAKOTA CRESCENT SINGAPORE 390010,10,DAKOTA CRESCENT,NIL,10 DAKOTA CRESCENT SINGAPORE 390010,390010,33691.36577,32074.14268,1.3063411459999998,103.88445820000001,103.88445820000001
2020-04-24,1958,21,old airport rd,3,gl,14,0,0,0,0,0,0,14,0,21 OLD AIRPORT ROAD SINGAPORE 390021,21,OLD AIRPORT ROAD,NIL,21 OLD AIRPORT ROAD SINGAPORE 390021,390021,33686.3392,32211.807589999997,1.307586139,103.884413,103.884413
