latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,car_park_no,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
2005-12-29,1971.0,27a,c'wealth ave,11,queenstown,226.0,0.0,0.0,220.0,0.0,6.0,0.0,0.0,1,1.294550852,103.8060772,q65a,surface car park,coupon parking,7am-10.30pm,sun & ph fr 7am-10.30pm,no,0,0.0,n
1996-05-27,1966.0,6,chai chee rd,5,bd,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1,1.327437082,103.9227725,cc4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,5.4,n
1996-05-28,1967.0,7,chai chee rd,12,bd,128.0,0.0,49.0,79.0,0.0,0.0,0.0,0.0,1,1.327103643,103.9249213,cc4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,5.4,n
1996-06-30,1978.0,309,ang mo kio ave 1,12,amk,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.361097527,103.8466134,a4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-06-30,1978.0,315,ang mo kio ave 1,11,amk,190.0,0.0,0.0,166.0,24.0,0.0,0.0,0.0,1,1.363115363,103.852217,a4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-06-30,1978.0,316,ang mo kio ave 1,11,amk,190.0,0.0,0.0,166.0,24.0,0.0,0.0,0.0,1,1.373172415,103.8551837,a4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-06-30,1978.0,307,ang mo kio ave 1,11,amk,190.0,0.0,0.0,166.0,24.0,0.0,0.0,0.0,1,1.366095605,103.8445195,a4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-06-30,1978.0,308,ang mo kio ave 1,11,amk,191.0,0.0,0.0,166.0,25.0,0.0,0.0,0.0,1,1.365271188,103.8448187,a4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-06-22,1976.0,249,ang mo kio ave 2/ ang mo kio ave 3/ang mo kio ave 4,4,amk,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1,1.376880537,103.8343234,a4,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-09-09,1971.0,139,corporation dr / hu ching rd,10,jw,100.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,1,1.33889981,103.7201537,bl18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,10,2.15,n
1996-09-09,1971.0,141,corporation dr / hu ching rd,10,jw,100.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,1,1.327531209,103.7234229,bl18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,10,2.15,n
1998-10-07,1980.0,3,lim chu kang rd,4,jw,22.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,1,1.438182666,103.7050552,bl18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,10,2.15,n
1998-10-07,1980.0,4,lim chu kang rd,4,jw,22.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,1,1.421752493,103.7045792,bl18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,10,2.15,n
1996-09-09,1971.0,140,corporation dr / hu ching rd,10,jw,100.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,1,1.326873824,103.7234212,bl10,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2004-07-28,1971.0,103,tao ching rd,10,jw,100.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,1,1.332487803,103.7241923,bl10,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
1996-09-09,1971.0,142,corporation dr / hu ching rd,10,jw,100.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,1,1.332924737,103.7224504,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-09-09,1971.0,143,corporation dr / hu ching rd,10,jw,100.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,1,1.332924737,103.7224504,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1998-10-07,1980.0,5,lim chu kang rd,4,jw,22.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,1,1.422046938,103.7040017,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-03-22,1973.0,5,yung ping rd / yung kuang rd,11,jw,103.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,1,1.329675591,103.7226418,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-03-22,1973.0,6,yung ping rd / yung kuang rd,11,jw,103.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,1,1.330340503,103.7226634,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-03-22,1973.0,7,yung ping rd / yung kuang rd,11,jw,103.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,1,1.329675591,103.7226418,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-03-22,1973.0,8,yung ping rd / yung kuang rd,11,jw,103.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,1,1.330340503,103.7226634,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-03-22,1973.0,9,yung ping rd / yung kuang rd,11,jw,103.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,1,1.329776329,103.7215859,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
2006-03-22,1973.0,10,yung ping rd / yung kuang rd,11,jw,104.0,0.0,0.0,100.0,0.0,4.0,0.0,0.0,1,1.329675591,103.7226418,tj18,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-12-05,1975.0,18,holland dr,10,qt,107.0,0.0,0.0,106.0,0.0,1.0,0.0,0.0,1,1.311580651,103.7919258,q81,surface car park,electronic parking,whole day,no,yes,0,9.99,n
1996-12-05,1975.0,19,holland dr,10,qt,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1,1.310637508,103.7915061,q81,surface car park,electronic parking,whole day,no,yes,0,9.99,n
1997-02-17,1971.0,79,toa payoh ctrl,10,tp,374.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,1,1.334660579,103.8485778,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1997-02-17,1973.0,89,toa payoh lor 2,10,tp,198.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,1,1.336287068,103.8465138,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1999-10-29,1974.0,136,lor 1a toa payoh,12,tp,118.0,2.0,1.0,99.0,14.0,2.0,0.0,0.0,1,1.336277758,103.8440449,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1999-10-29,1974.0,137,lor 1a toa payoh,12,tp,118.0,2.0,1.0,99.0,14.0,2.0,0.0,0.0,1,1.336264137,103.8449074,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1999-10-29,1969.0,164,lor 1 toa payoh,11,tp,94.0,0.0,7.0,84.0,2.0,1.0,0.0,0.0,1,1.340508942,103.8510407,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1999-10-29,1969.0,165,lor 1 toa payoh,11,tp,94.0,0.0,7.0,84.0,2.0,1.0,0.0,0.0,1,1.338130115,103.8421461,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1999-10-29,1969.0,166,lor 1 toa payoh,11,tp,94.0,0.0,7.0,84.0,2.0,1.0,0.0,0.0,1,1.337007309,103.8428486,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1999-10-29,1969.0,167,lor 1 toa payoh,11,tp,94.0,0.0,7.0,84.0,2.0,1.0,0.0,0.0,1,1.338216538,103.8440641,tp20,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1997-02-17,1979.0,454,ang mo kio ave 10,12,amk,143.0,0.0,0.0,121.0,22.0,0.0,0.0,0.0,1,1.360135795,103.8550256,a38,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
