year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,latitude_x,longitude_x,geometry_x,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,geometry_y,latitude_y,longitude_y,new_address
1976.0,180,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,1.3480815464086202,103.70817710905001,POINT (11544741.46687808 150081.599174219),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1976.0,181,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,1.3484096763794198,103.70775516682501,POINT (11544694.49648445 150118.1365508127),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1976.0,182,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,1.345986768687,103.707564745441,POINT (11544673.29887294 149848.3451247835),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1973.0,167,boon lay dr,jw,11.0,0.0,0.0,106.66666666666669,0.0,1.6666666666666667,0.0,108.33333333333331,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1,1.3484096763794198,103.70775516682501,POINT (11544694.49648445 150118.1365508127),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1973.0,169,boon lay dr,jw,11.0,0.0,0.0,106.66666666666669,0.0,1.6666666666666667,0.0,108.33333333333331,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1,1.3478378528797,103.70775189406099,POINT (11544694.13216202 150054.4638254638),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1973.0,170,boon lay dr,jw,11.0,0.0,0.0,106.66666666666669,0.0,1.6666666666666667,0.0,108.33333333333331,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1,1.3480815464086202,103.70817710905001,POINT (11544741.46687808 150081.599174219),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1973.0,171,boon lay dr,jw,11.0,0.0,0.0,106.66666666666669,0.0,1.6666666666666667,0.0,108.33333333333331,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1,1.3480815464086202,103.70817710905001,POINT (11544741.46687808 150081.599174219),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1973.0,172,boon lay dr,jw,11.0,0.0,0.0,106.66666666666669,0.0,1.6666666666666667,0.0,108.33333333333331,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1,1.3480815464086202,103.70817710905001,POINT (11544741.46687808 150081.599174219),BL3,blk 174  /  179 boon lay dr,14190.8096,36556.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11544859.18124818 149947.2173329113),1.346874707613086,103.70923455522826,blk 174 / 179 boon lay dr
1976.0,184,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,1.34251699185774,103.711734070194,POINT (11545137.4259814 149461.9850042878),BL10,blk 188  /  191 boon lay dr,14434.5806,36212.2117,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11545103.03580059 149600.5990237985),1.3437618406573535,103.7114251379436,blk 188 / 191 boon lay dr
1973.0,168,boon lay dr,jw,11.0,0.0,0.0,106.66666666666669,0.0,1.6666666666666667,0.0,108.33333333333331,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1,1.34183676871732,103.711924318214,POINT (11545158.60429411 149386.2421296838),BL10,blk 188  /  191 boon lay dr,14434.5806,36212.2117,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,POINT (11545103.03580059 149600.5990237985),1.3437618406573535,103.7114251379436,blk 188 / 191 boon lay dr
